A375_Resist_BR15_1	A375_Resist_BR15_2	A375_Resist_BR2_resist2	A375_Resist_BR2_resist3	A375_Par_Par4A	A375_Par_Par5A
CD180	0	0	0	1	0	0
CD19	0	0	0	0	0	0
CD1A	0	0	0	0	0	0
CD1B	0	0	0	0	0	0
CD1C	0	0	0	0	0	0
CD1D	111	32	16	11	471	84
CD1E	0	0	0	0	0	0
CD2	0	0	0	0	0	0
CD200	3	32	0	1	203	66
CD200R1	0	0	5	4	7	1
CD200R1L	0	0	1	0	0	0
CD207	1	4	5	3	7	3
CD209	0	0	0	0	2	0
CD22	6	53	85	89	337	67
CD226	3	3	10	5	26	2
CD24	5	7	78	30	79	29
CD244	0	0	1	1	0	1
CD247	0	0	2	5	52	11
CD248	0	0	0	0	0	0
CD27	0	1	3	3	4	2
CD27-AS1	357	180	377	315	830	224
CD274	38	30	1127	889	195	52
CD276	3423	918	3237	1987	6659	866
CD28	0	0	3	1	3	3
CD2AP	347	341	1674	1201	3108	814
CD2BP2	4656	1575	3701	2553	11816	2602
CD300A	0	0	0	0	0	0
CD300C	3	0	2	0	0	0
CD300E	0	0	0	0	0	0
CD300LB	0	0	0	0	0	0
CD300LD	0	0	0	0	0	0
CD300LF	0	0	0	0	0	0
CD300LG	0	0	0	0	0	0
CD302	1	0	2	3	5	3
CD320	1659	633	866	479	4597	721
CD33	61	1	14	16	51	7
CD34	3	1	4	1	6	0
CD36	24	1	15	8	12	1
CD37	0	0	0	1	0	0
CD38	1	0	3	4	1	0
CD3D	0	0	4	0	0	0
CD3E	0	0	0	0	1	0
CD3EAP	502	434	724	386	2896	610
CD3G	0	0	0	0	0	0
CD4	1	1	0	0	6	4
CD40	222	34	228	117	328	64
CD40LG	0	0	0	0	3	0
CD44	3688	3601	13677	9425	34345	7283
CD46	2394	1777	7719	5920	11371	2831
CD47	854	616	2534	1748	5950	1680
CD48	0	0	0	0	0	0
CD5	0	0	0	0	0	0
CD52	1	2	15	26	8	1
CD53	1	0	0	0	0	0
CD55	222	3721	1561	1176	4854	1366
CD58	84	205	546	401	2585	706
CD59	7673	4304	13640	7643	28677	6644
CD5L	0	0	0	1	0	0
CD6	0	0	0	0	0	0
CD63	8964	2843	9644	5569	31931	8709
CD68	2676	525	2654	2611	1142	232
CD69	0	1	0	0	0	0
CD7	16	0	1	0	1	0
CD70	1747	1046	2207	1588	4122	699
CD72	18	1	12	8	2	0
CD74	7947	10494	6367	2937	61480	9438
CD79A	16	1	2	0	2	0
CD79B	0	0	14	8	10	1
CD80	0	0	0	0	0	0
CD81	2803	1071	2665	1672	4195	634
CD81-AS1	3	1	9	3	5	1
CD82	103	102	238	133	327	54
CD83	90	165	92	50	825	202
CD84	0	0	0	0	0	0
CD86	0	0	1	3	5	2
CD8A	7	1	4	1	21	5
CD8B	0	0	0	0	0	0
CD9	500	759	1759	1325	7398	1845
CD93	0	4	2	0	212	40
CD96	39	394	934	526	15024	3927
CD99	1814	322	5110	3034	2502	502
CD99L2	2641	730	1861	1097	2834	515
CD99P1	40	10	90	60	56	6
CDA	8	1	31	22	13	2
CDADC1	94	35	125	122	380	88
CDAN1	676	320	630	384	1782	298
CDC123	1063	947	2846	1764	12570	3323
CDC14A	90	138	266	169	1059	242
CDC14B	326	323	799	474	2258	557
CDC14C	4	0	71	38	281	90
CDC16	612	464	2128	1513	4586	1091
CDC20	423	760	1005	358	14937	2985
CDC20B	0	0	1	0	5	2
CDC23	862	662	1682	974	6383	1727
CDC25A	192	278	651	283	7598	1805
CDC25B	1545	779	2626	1866	5765	820
CDC25C	42	151	102	35	1443	395
CDC26	507	269	671	549	2559	759
CDC27	945	1342	4210	2863	17017	4442
CDC34	1091	690	1371	859	5490	1039
CDC37	6739	3675	7666	5002	29941	6617
CDC37L1	477	429	1395	808	3299	837
CDC37L1-AS1	12	8	21	20	70	13
CDC40	466	359	1334	865	4098	1083
CDC42	2587	2004	8480	4880	24710	7316
CDC42BPA	1160	1526	4116	2920	11936	2876
CDC42BPB	1578	942	2265	1651	4980	990
CDC42BPG	128	4	85	71	72	9
CDC42EP1	69	177	575	325	109	21
CDC42EP2	192	268	733	447	1966	240
CDC42EP3	786	1884	2456	1289	8544	1841
CDC42EP4	837	413	1174	725	4090	686
CDC42EP5	34	166	17	13	50	11
CDC42P3	1	0	17	4	22	8
CDC42SE1	2673	1803	5561	3302	15869	3867
CDC42SE2	326	277	1126	783	2791	651
CDC45	85	183	192	78	3275	864
CDC5L	605	612	1895	1413	9023	2546
CDC6	275	428	784	327	10838	2842
CDC7	103	159	303	158	1863	499
CDC73	422	789	2615	1871	4887	916
CDCA2	115	204	378	153	3773	916
CDCA3	138	128	175	42	2922	655
CDCA4	273	711	646	348	5075	1047
CDCA5	277	489	513	213	6666	1265
CDCA7	65	189	352	138	2147	482
CDCA7L	669	533	1358	705	8142	2399
CDCA8	184	424	337	160	2933	455
CDCP1	377	119	3405	2951	1139	217
CDCP2	0	0	0	0	0	0
CDH1	1	0	3	0	0	0
CDH10	97	15	44	36	21	6
CDH11	117	10	239	195	46	19
CDH12	695	226	1018	611	1404	480
CDH13	551	1504	4088	3441	9560	2272
CDH15	3	5	11	11	13	2
CDH16	0	0	1	0	0	0
CDH17	2	0	1	0	0	0
CDH18	23	1	6	3	30	10
CDH19	15	367	180	85	3646	1109
CDH2	3746	1938	2770	1430	9914	2393
CDH20	5	1	6	5	2	0
CDH22	0	0	0	0	0	0
CDH23	1	0	1	1	7	3
CDH24	608	105	217	183	405	76
CDH26	9	2	12	12	2	3
CDH3	20	11	41	28	148	31
CDH4	0	0	336	241	4	1
CDH5	1	0	2	0	11	1
CDH6	642	3	77	48	1	0
CDH7	31	1	226	212	39	5
CDH8	37	42	77	45	109	31
CDH9	133	5	31	41	5	0
CDHR1	11	27	20	19	67	13
CDHR2	5	1	1	3	0	0
CDHR3	4	2	8	8	9	3
CDHR4	9	0	13	13	6	0
CDHR5	0	0	0	0	0	0
CDIP1	399	160	639	371	1367	179
CDIPT	1810	741	1851	1196	5508	837
CDIPT-AS1	3	4	5	4	26	10
CDK1	163	627	779	367	11200	3225
CDK10	1050	509	867	628	3132	578
CDK11A	396	228	629	616	1645	220
CDK11B	617	320	1011	887	2697	358
CDK12	1219	1008	1805	1216	7868	1692
CDK13	1226	882	2567	2044	6402	1482
CDK14	388	747	1274	932	4711	1305
CDK15	15	1	1	0	4	1
CDK16	2655	1700	2821	1676	8775	1674
CDK17	414	502	1605	987	3519	942
CDK18	226	153	240	205	648	103
CDK19	181	258	657	531	1528	381
CDK2	619	1036	1073	543	9255	1938
CDK20	321	124	366	230	636	137
CDK2AP1	1161	2368	2744	1564	21306	5133
CDK2AP2	587	222	528	395	2359	300
CDK3	0	0	0	0	0	0
CDK4	5834	2732	6547	3361	23573	5443
CDK5	1124	488	995	606	4160	922
CDK5R1	110	118	179	91	1095	236
CDK5R2	5	1	2	0	1	0
CDK5RAP1	498	405	774	483	3019	696
CDK5RAP2	799	943	1991	1407	6251	1491
CDK5RAP3	1078	717	1222	999	4030	860
CDK6	1670	1772	7815	4347	32044	6941
CDK7	674	644	1547	985	4520	1288
CDK8	188	173	372	245	1306	292
CDK9	1365	875	1703	1155	3862	813
CDKAL1	251	240	490	312	2056	586
CDKL1	69	37	139	61	318	74
CDKL2	0	1	4	1	2	2
CDKL3	39	32	96	97	190	33
CDKL4	7	6	25	15	52	6
CDKL5	93	59	95	81	224	49
CDKN1A	6716	1886	9961	7149	7381	1168
CDKN1B	1278	597	1101	920	3767	884
CDKN1C	27	58	38	22	1461	236
CDKN2A	27	50	45	27	85	15
CDKN2A-AS1	0	0	0	0	0	0
CDKN2AIP	378	251	882	584	2676	693
CDKN2AIPNL	318	406	699	356	3894	1125
CDKN2B	0	0	0	0	0	0
CDKN2B-AS1	0	2	2	0	8	0
CDKN2C	1135	302	481	482	2893	680
CDKN2D	104	70	223	203	799	181
CDKN3	58	96	179	64	1357	384
CDNF	19	16	30	17	21	5
CDO1	44	14	5	5	197	42
CDON	433	324	872	801	3796	860
CDPF1	188	90	154	86	475	85
CDR1	0	0	0	0	0	0
CDR2	484	330	733	456	2011	493
CDR2L	364	242	320	214	910	153
CDRT1	32	4	43	49	100	24
CDRT15	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0
CDRT15P1	0	0	0	0	0	0
CDRT15P2	0	0	0	0	0	0
CDRT4	0	0	0	3	3	0
CDRT7	0	0	0	0	0	0
CDRT8	0	0	0	0	1	3
CDS1	115	53	110	58	334	82
CDS2	1506	947	2258	1765	6184	1481
CDSN	0	0	1	0	0	0
CDT1	326	424	364	171	2512	336
CDV3	2191	1255	6780	4297	15771	3758
CDX1	0	0	2	0	0	0
CDX2	0	1	0	0	1	0
CDX4	0	0	0	0	0	0
CDY1	0	0	0	0	0	0
CDY1B	0	0	0	0	0	0
CDY2A	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0
CDYL	385	324	903	603	2391	664
CDYL2	365	206	264	234	571	149
CEACAM1	9	3	3	2	27	1
CEACAM16	0	0	1	1	2	0
CEACAM18	0	0	0	0	0	0
CEACAM19	22	18	31	44	31	4
CEACAM20	0	0	0	0	0	0
CEACAM21	0	0	0	0	0	0
CEACAM22P	8	0	5	3	6	0
CEACAM3	0	1	0	0	0	0
CEACAM4	0	0	0	0	0	0
CEACAM5	0	0	0	0	0	0
CEACAM6	0	0	0	0	0	0
CEACAM7	0	0	0	0	0	0
CEACAM8	0	0	0	0	0	0
CEBPA	10	49	99	87	165	26
CEBPA-AS1	4	13	28	12	22	7
CEBPB	1013	450	1397	824	1803	378
CEBPB-AS1	17	14	62	49	97	19
CEBPD	1226	157	286	187	292	61
CEBPE	0	0	0	0	0	0
CEBPG	220	691	2632	1521	2819	699
CEBPZ	1222	1386	5079	3251	19358	5327
CEBPZOS	488	525	1928	1191	3900	954
CECR1	0	0	0	1	0	2
CECR2	10	236	28	20	659	125
CECR3	0	0	0	0	0	0
CECR5	564	469	734	388	3696	721
CECR5-AS1	7	5	11	7	22	1
CECR6	1	0	0	0	5	0
CECR7	65	39	128	103	256	37
CEL	47	3	13	18	48	11
CELA1	1	0	0	0	4	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0
CELA3B	0	0	0	0	0	0
CELF1	2475	1869	5700	4051	14913	2899
CELF2	27	4	11	4	9	1
CELF2-AS1	1	0	0	0	1	0
CELF2-AS2	0	0	0	0	0	0
CELF3	0	0	0	0	0	0
CELF4	0	0	0	2	1	0
CELF5	0	1	1	3	2	1
CELF6	50	0	7	16	5	2
CELP	7	1	5	8	15	2
CELSR1	249	262	845	773	1830	248
CELSR2	482	145	332	290	732	94
CELSR3	739	109	995	952	1405	180
CELSR3-AS1	6	1	9	1	21	2
CEMIP	103	13280	362	239	9870	1908
CEMP1	3	0	1	6	2	1
CEND1	964	38	364	229	109	12
CENPA	79	165	212	74	2179	441
CENPB	3573	1562	3874	2267	15287	3018
CENPBD1	258	282	446	302	942	209
CENPBD1P1	1018	482	1096	685	3163	686
CENPC	113	133	357	278	1585	440
CENPE	70	360	678	402	7066	2147
CENPF	764	2961	4836	2614	45004	12759
CENPH	100	571	545	218	4129	1289
CENPI	29	63	89	33	1054	276
CENPJ	106	283	453	293	3890	1002
CENPK	61	123	304	122	1966	639
CENPL	116	190	431	197	2647	690
CENPM	104	111	124	53	1217	200
CENPN	467	451	829	401	7030	1696
CENPO	336	338	498	260	3396	592
CENPP	70	43	82	46	573	150
CENPQ	47	66	222	122	1384	453
CENPT	519	290	453	323	1554	300
CENPU	86	442	529	198	7268	2182
CENPV	115	95	97	64	368	66
CENPVP1	0	0	0	0	0	0
CENPVP2	0	0	0	0	0	0
CENPW	51	84	94	59	1291	321
CEP104	520	339	1383	1031	3479	745
CEP112	129	57	404	290	281	64
CEP120	311	375	1160	800	3275	876
CEP126	78	44	412	331	328	71
CEP128	50	77	199	115	951	259
CEP131	371	310	294	198	1275	216
CEP135	133	118	531	407	1761	395
CEP152	138	181	426	237	3259	980
CEP162	64	37	167	137	486	137
CEP164	1493	819	1978	1358	5082	1005
CEP170	1243	2860	6358	4366	17268	4198
CEP170B	1188	548	783	542	2973	416
CEP170P1	76	176	482	299	1216	292
CEP19	99	25	148	105	244	79
CEP192	717	894	1818	1228	8313	2509
CEP250	2511	1113	2476	2151	5760	1183
CEP290	254	353	1482	1331	2851	793
CEP295	479	469	1399	1019	5265	1442
CEP295NL	11	5	9	14	29	4
CEP350	1220	1527	4022	3279	14880	3847
CEP41	410	260	713	446	2665	584
CEP44	149	230	727	457	1908	542
CEP55	142	432	845	334	8972	2541
CEP57	503	692	2010	1321	5957	1749
CEP57L1	44	68	236	171	673	227
CEP63	249	103	634	364	1665	432
CEP68	488	287	618	332	1264	288
CEP70	274	196	548	369	1694	517
CEP72	96	99	148	56	797	152
CEP76	153	138	261	184	1338	403
CEP78	222	232	446	297	3589	952
CEP83	86	185	457	323	1584	410
CEP83-AS1	15	16	16	10	40	6
CEP85	295	569	787	518	5200	1318
CEP85L	220	255	540	416	2324	621
CEP89	291	122	329	228	570	109
CEP95	261	209	593	571	2346	590
CEP97	372	360	1069	862	4990	1468
CEPT1	273	329	1198	809	2878	813
CER1	0	0	0	0	0	0
CERCAM	1975	557	1437	720	2308	425
CERK	1157	658	1433	964	4280	937
CERKL	1	3	1	2	11	1
CERS1	45	166	96	39	397	75
CERS2	4155	2303	8857	5176	20669	4085
CERS3	2	0	1	0	0	1
CERS3-AS1	0	0	0	0	0	0
CERS4	290	104	116	47	398	85
CERS5	411	411	719	572	1519	352
CERS6	218	203	583	348	2094	526
CERS6-AS1	0	0	0	0	2	0
CES1	1	0	0	0	2	0
CES1P1	0	0	1	0	0	0
CES1P2	0	0	0	0	0	2
CES2	1846	637	1628	989	3109	554
CES3	91	45	111	96	64	24
CES4A	1	0	17	7	0	2
CES5A	0	6	0	0	9	2
CES5AP1	0	0	0	0	0	0
CETN1	0	0	0	0	0	0
CETN2	849	208	1123	565	2831	864
CETN3	155	199	470	343	2158	700
CETN4P	1	6	9	6	30	6
CETP	2	0	0	0	2	0
CFAP126	1	0	0	0	0	3
CFAP20	486	348	651	378	3682	942
CFAP221	2	0	4	7	0	0
CFAP36	714	517	1350	780	3351	918
CFAP43	19	3	65	56	43	12
CFAP44	166	72	400	450	924	248
CFAP44-AS1	0	0	0	0	0	0
CFAP45	3	20	52	45	68	6
CFAP46	0	0	0	0	1	0
CFAP47	19	2	30	27	9	1
CFAP52	6	1	9	6	20	9
CFAP53	34	19	37	47	82	14
CFAP54	23	4	34	30	51	21
CFAP57	13	5	17	28	21	5
CFAP58	96	11	20	15	17	2
CFAP58-AS1	28	16	25	14	10	7
CFAP61	6	1	10	16	20	7
CFAP69	78	28	158	99	205	60
CFAP70	15	2	10	18	19	2
CFAP74	0	0	1	0	1	0
CFAP97	827	1443	5742	3811	11250	3079
CFAP99	4	1	4	0	0	0
CFB	653	10	252	294	7	2
CFC1	0	0	0	0	0	0
CFC1B	0	0	0	1	0	0
CFD	17	15	12	2	38	3
CFDP1	599	406	954	662	3096	900
CFH	958	37	568	312	188	50
CFHR1	42	4	26	15	90	28
CFHR2	0	0	0	0	0	0
CFHR3	9	7	41	35	93	13
CFHR4	5	1	8	4	14	1
CFHR5	0	0	0	0	0	0
CFI	4953	1006	2412	1632	874	286
CFL1	18646	8310	21842	10386	92063	18722
CFL1P1	27	9	23	13	33	5
CFL2	436	328	1588	944	3172	828
CFLAR	541	286	931	953	1318	328
CFLAR-AS1	1	1	2	1	4	1
CFP	7	1	2	5	42	3
CFTR	4	0	0	0	0	0
CGA	9	1	0	1	1	0
CGB	21	2	10	6	3	2
CGB1	14	1	3	2	1	0
CGB2	9	1	3	2	1	1
CGB5	14	1	7	4	1	0
CGB7	19	2	2	2	2	1
CGB8	21	1	17	9	3	2
CGGBP1	890	757	3530	2419	8278	2147
CGN	15	5	72	66	225	25
CGNL1	76	33	55	33	12	2
CGREF1	178	234	314	204	888	189
CGRRF1	59	67	174	102	560	187
CH17-360D5.1	0	0	0	0	0	0
CH25H	0	0	0	0	0	0
CHAC1	77	270	806	333	328	33
CHAC2	86	58	322	182	1415	361
CHAD	0	0	0	1	2	0
CHADL	2	1	2	1	30	1
CHAF1A	366	529	589	300	6155	1246
CHAF1B	102	191	169	100	1550	290
CHAMP1	251	224	539	393	1737	264
CHAT	0	0	0	0	0	0
CHCHD1	399	181	571	353	2189	456
CHCHD10	678	244	553	379	577	89
CHCHD2	6356	3669	6555	3345	29832	7086
CHCHD3	1188	915	2092	1234	6951	1797
CHCHD4	287	216	758	421	2702	660
CHCHD5	246	98	178	96	694	87
CHCHD6	248	85	293	181	983	200
CHCHD7	419	149	773	505	2213	635
CHD1	556	915	2807	2243	10419	2752
CHD1L	559	1077	2093	1170	7383	1985
CHD2	943	1029	3113	2981	4757	944
CHD3	2062	1713	4170	3140	10294	2086
CHD4	9688	7470	17234	11848	48126	10364
CHD5	4	6	4	3	23	4
CHD6	1561	1132	2398	1933	7704	1690
CHD7	330	768	1033	822	4786	960
CHD8	2158	1288	3582	2714	8839	1798
CHD9	872	860	3028	2481	6941	1659
CHDH	0	0	0	1	3	0
CHEK1	362	365	884	470	5893	1663
CHEK2	182	207	270	158	1616	505
CHEK2P2	1	9	8	3	49	17
CHERP	660	329	720	520	1557	122
CHFR	752	495	872	574	1891	421
CHGA	0	0	0	2	0	0
CHGB	86	6	85	48	99	11
CHI3L1	18	0	75	42	0	1
CHI3L2	19	1	187	44	106	30
CHIA	0	0	0	0	0	0
CHIAP2	0	0	0	1	0	0
CHIC1	196	96	867	611	931	217
CHIC2	204	126	621	356	1426	356
CHID1	1621	689	1055	711	2363	321
CHIT1	2	0	0	0	0	0
CHKA	196	161	366	243	1557	269
CHKB	2	1	1	2	5	0
CHKB-AS1	20	3	15	7	44	6
CHKB-CPT1B	0	2	1	0	6	3
CHL1	3	18	19	6	1	1
CHL1-AS1	0	0	0	0	0	0
CHM	590	380	1965	1236	3841	1027
CHML	369	749	3533	2255	11765	3100
CHMP1A	2151	806	1650	1197	6804	1227
CHMP1B	1444	588	1949	1309	5136	1509
CHMP1B2P	35	36	141	79	314	106
CHMP2A	4378	2040	3907	2686	7480	1976
CHMP2B	486	348	1247	894	4294	937
CHMP3	129	35	76	54	267	37
CHMP4A	373	161	597	465	1552	355
CHMP4B	595	395	942	729	1945	367
CHMP4C	96	7	309	193	143	25
CHMP5	1719	1193	4334	2635	12245	3696
CHMP6	498	211	278	172	1085	176
CHMP7	985	734	1411	834	5116	1166
CHN1	330	295	1005	592	1404	407
CHN2	16	38	70	45	118	23
CHODL	1	0	1	1	0	0
CHODL-AS1	0	0	0	0	0	0
CHORDC1	512	511	1785	1396	6953	1758
CHP1	2917	1507	3328	2199	9462	2133
CHP2	0	0	0	0	0	0
CHPF	6487	932	2775	1434	5544	740
CHPF2	3192	837	2740	2071	4841	832
CHPT1	378	1334	1158	749	7042	1741
CHRAC1	282	244	721	450	1793	275
CHRD	19	2	1	6	4	1
CHRDL1	34	2191	73	31	2174	720
CHRDL2	0	1	0	0	0	0
CHRFAM7A	30	26	76	39	88	20
CHRM1	41	2	4	2	33	2
CHRM2	97	16	1	0	0	0
CHRM3	77	149	43	31	387	98
CHRM3-AS1	0	0	0	0	0	0
CHRM3-AS2	0	0	0	0	6	0
CHRM4	2	1	3	3	14	6
CHRM5	0	0	0	1	0	0
CHRNA1	0	0	0	1	0	1
CHRNA10	10	3	4	8	39	7
CHRNA2	0	0	0	0	0	0
CHRNA3	2	1	3	1	0	0
CHRNA4	0	0	0	0	1	0
CHRNA5	91	83	204	122	1083	298
CHRNA6	0	1	3	0	25	6
CHRNA7	25	16	45	30	61	12
CHRNA9	201	10	161	119	31	11
CHRNB1	366	72	445	253	389	88
CHRNB2	41	4	19	7	147	28
CHRNB3	0	0	0	0	0	0
CHRNB4	0	0	0	0	0	0
CHRND	0	0	0	0	0	0
CHRNE	18	4	5	9	5	2
CHRNG	5	0	5	0	0	0
CHST1	25	117	167	159	1694	251
CHST10	403	301	398	297	1692	407
CHST11	621	1244	1466	726	2745	642
CHST12	316	206	339	233	1037	182
CHST13	0	0	1	1	1	0
CHST14	972	344	672	436	2039	331
CHST15	297	34	595	322	24	8
CHST2	44	148	116	77	1481	290
CHST3	836	583	1255	686	3488	690
CHST4	31	3	4	4	0	0
CHST5	12	9	16	13	33	9
CHST6	61	340	160	128	1593	333
CHST7	230	105	189	129	415	83
CHST8	1	0	0	0	2	1
CHST9	0	0	0	1	0	0
CHSY1	784	1397	2519	1860	11781	2770
CHSY3	53	34	350	218	110	30
CHTF18	220	303	248	168	2832	402
CHTF8	1484	1002	2092	1288	5868	1039
CHTOP	888	796	1919	1413	6893	1464
CHUK	698	786	2092	1373	7873	2115
CHURC1	346	136	803	533	1242	290
CHURC1-FNTB	0	1	1	0	0	0
CIAO1	2458	1649	3915	2485	11719	2803
CIAPIN1	1529	1124	2126	1155	8264	2114
CIART	14	5	12	15	16	3
CIB1	1119	376	1169	837	2707	558
CIB2	31	32	76	42	209	52
CIB3	0	0	0	1	0	1
CIB4	0	0	0	0	0	0
CIC	1974	377	1228	879	2133	210
CIDEA	0	0	0	0	0	0
CIDEB	0	0	0	1	1	0
CIDEC	2	9	17	24	92	22
CIDECP	167	42	190	109	316	65
CIITA	203	352	219	156	3215	401
CILP	1	0	10	4	1	0
CILP2	116	18	47	64	126	18
CINP	417	268	518	308	1791	450
CIPC	396	295	641	424	1914	476
CIR1	232	157	340	336	534	169
CIRBP	1567	938	2600	1666	4645	926
CIRBP-AS1	6	3	3	6	26	7
CIRH1A	550	929	1658	1010	4423	916
CISD1	301	164	929	621	2473	588
CISD2	257	225	919	593	3029	832
CISD3	898	370	913	584	2649	430
CISH	47	9	68	52	56	10
CISTR	0	0	0	0	0	0
CIT	203	1614	540	265	4487	863
CITED1	41	15	8	5	79	27
CITED2	486	200	647	327	598	95
CITED4	339	853	385	215	1103	125
CIZ1	1323	1080	2152	1460	5203	588
CKAP2	416	777	1790	1119	9386	2642
CKAP2L	32	280	304	160	3025	604
CKAP4	3002	2645	2504	1494	6335	1277
CKAP5	3193	3396	6189	3912	26706	6290
CKB	2251	727	1910	1141	3308	576
CKLF	50	38	168	107	618	171
CKLF-CMTM1	0	0	0	0	0	0
CKM	0	0	0	1	0	0
CKMT1A	145	7	189	135	53	16
CKMT1B	139	9	168	125	52	19
CKMT2	0	0	0	0	0	0
CKMT2-AS1	147	67	186	174	430	108
CKS1B	464	723	1361	837	8157	2095
CKS2	491	516	1007	534	11183	2912
CLASP1	1100	950	1463	1122	5575	1184
CLASP2	762	660	1968	1341	8309	2332
CLASRP	473	285	441	467	1659	278
CLC	0	0	0	0	0	0
CLCA1	0	0	1	0	2	0
CLCA2	13	0	21	11	9	2
CLCA3P	0	0	1	1	3	1
CLCA4	0	0	0	0	0	0
CLCC1	617	469	1211	761	2839	738
CLCF1	149	92	139	100	421	60
CLCN1	0	0	0	0	2	1
CLCN2	323	166	285	176	1442	265
CLCN3	1386	927	4114	3413	6913	1778
CLCN4	272	58	556	361	842	183
CLCN5	104	408	206	155	1343	260
CLCN6	147	106	348	325	830	144
CLCN7	2020	573	1497	955	4607	652
CLCNKA	0	0	0	0	1	0
CLCNKB	0	0	0	0	0	0
CLDN1	45	9	121	48	39	5
CLDN10	0	0	0	0	0	0
CLDN10-AS1	0	0	1	2	21	5
CLDN11	31	3	1	1	1	1
CLDN12	572	641	2286	1765	3951	1002
CLDN14	0	5	0	0	0	0
CLDN15	317	86	263	288	452	67
CLDN16	1	1	3	1	2	1
CLDN17	0	0	0	0	0	0
CLDN18	0	0	0	0	0	0
CLDN19	0	0	1	0	1	0
CLDN2	2	0	37	13	1	0
CLDN20	0	0	0	0	16	0
CLDN22	0	0	0	0	1	1
CLDN23	48	20	37	32	119	28
CLDN24	0	0	1	0	0	1
CLDN25	0	0	0	0	0	0
CLDN3	0	0	0	0	0	0
CLDN34	0	0	1	2	4	1
CLDN4	108	271	308	244	1432	229
CLDN5	0	0	0	0	0	0
CLDN6	0	1	2	1	2	0
CLDN7	1	4	13	14	7	2
CLDN8	0	0	0	0	0	0
CLDN9	2	0	2	2	0	0
CLDND1	894	658	3323	2538	6585	1547
CLDND2	19	7	14	9	54	11
CLEC10A	0	0	0	0	1	0
CLEC11A	157	11	65	45	172	9
CLEC12A	0	0	0	0	0	0
CLEC12B	0	0	1	2	1	0
CLEC14A	0	0	0	0	0	0
CLEC16A	889	314	852	635	2172	349
CLEC17A	2	0	0	0	0	1
CLEC18A	29	24	27	26	225	41
CLEC18B	24	20	24	36	148	39
CLEC18C	20	13	17	18	111	20
CLEC19A	5	2	1	0	2	0
CLEC1A	0	0	0	1	3	0
CLEC1B	0	0	0	0	0	0
CLEC2A	0	0	0	0	0	0
CLEC2B	117	63	178	135	1045	307
CLEC2D	57	38	3080	1628	11480	3956
CLEC2L	0	0	0	0	0	0
CLEC3A	0	0	0	0	1	0
CLEC3B	5	2	4	3	18	3
CLEC4A	2	3	4	4	19	3
CLEC4C	0	0	0	0	0	0
CLEC4D	0	0	0	0	0	0
CLEC4E	0	0	0	0	0	0
CLEC4F	1	0	0	0	0	0
CLEC4G	0	0	0	0	1	1
CLEC4GP1	0	3	1	0	23	3
CLEC4M	0	0	0	0	7	3
CLEC5A	0	0	0	0	0	0
CLEC6A	0	0	0	0	1	0
CLEC7A	15	0	134	53	11	4
CLEC9A	0	0	0	0	1	0
CLECL1	0	0	0	0	0	0
CLGN	23	22	89	100	125	41
CLHC1	58	53	182	185	343	100
CLIC1	3782	2150	8819	5238	29217	7695
CLIC2	3	4	66	20	15	4
CLIC3	263	5	158	90	2	1
CLIC4	2497	4963	18360	11481	35049	9971
CLIC5	179	2	2	1	4	4
CLIC6	0	1	0	1	0	0
CLINT1	2005	1719	5426	3670	13232	2945
CLIP1	1222	1095	3011	2387	5655	1294
CLIP1-AS1	0	0	0	0	0	0
CLIP2	1245	728	958	791	4289	745
CLIP3	198	69	231	153	192	21
CLIP4	1077	1269	4935	3369	8592	2280
CLK1	259	288	1078	951	2890	848
CLK2	387	354	787	720	2477	480
CLK2P1	3	2	61	53	183	41
CLK3	1260	829	1508	1112	3611	763
CLK4	147	155	466	392	1191	332
CLLU1	0	0	0	0	5	1
CLLU1OS	0	0	0	0	1	0
CLMN	178	628	372	236	4121	899
CLMP	306	380	2214	1662	2008	416
CLN3	531	149	433	337	1336	186
CLN5	402	259	919	630	1745	461
CLN6	366	273	438	245	2258	285
CLN8	452	196	766	611	1473	291
CLNK	0	0	0	0	0	1
CLNS1A	2765	2111	5481	3000	18942	5205
CLOCK	514	519	2079	1528	5589	1318
CLP1	571	310	855	474	3155	724
CLPB	1054	878	1695	1212	7063	1581
CLPP	820	573	1093	586	4328	719
CLPS	0	0	0	0	1	0
CLPSL1	12	11	3	3	28	4
CLPSL2	4	11	8	6	20	6
CLPTM1	1579	677	1958	1225	4579	559
CLPTM1L	3099	2286	4753	2667	17846	4242
CLPX	792	751	1720	1245	5360	1388
CLRN1	0	0	0	0	2	0
CLRN1-AS1	0	0	0	0	0	0
CLRN2	0	0	0	0	0	0
CLRN3	0	0	2	0	0	0
CLSPN	167	415	525	251	8023	1774
CLSTN1	2512	1509	4927	3509	9041	1664
CLSTN2	29	0	43	12	2	0
CLSTN2-AS1	0	0	0	0	0	0
CLSTN3	511	84	529	447	341	54
CLTA	3972	1958	4540	2642	18601	4354
CLTB	1189	456	1004	586	3970	762
CLTC	13079	7913	29435	19245	77150	17120
CLTCL1	307	170	598	323	981	199
CLU	3701	82	467	226	497	89
CLUAP1	696	440	1419	923	2672	773
CLUH	2103	1361	2595	1442	9195	1079
